#,Type,DocNum,Description,Custom Entry,AddID,CardName,TaxDate,NumAtCard,U_CUINNUMBER,Taxable Amount,VAT AMOUNT
1,Local,1715653,Goods & Services,,P051327229D,SHALINA HEALTHCARE K LTD,07/08/2023,0005612T1,REVERSED,24439.69,3910.35
2,Local,1716221,Goods & Services,,P051327229D,SHALINA HEALTHCARE K LTD,09/08/2023,0001534T01,0190437890000006428,36853.63,5896.58
3,Local,1716325,Goods & Services,,P051092185B,PWANI OIL PRODUCTS LTD.,15/08/2023,2371001086,REVERSED,367511.19,58801.79
4,Local,1721339,Goods & Services,,P051327229D,SHALINA HEALTHCARE K LTD,14/08/2023,0001674T01,REVERSED,24439.69,3910.35
5,Local,1721871,Goods & Services,,P051103075Q,DPL FESTIVE  LIMITED,20/08/2023,5385349,REVERSED,3106,496.96
6,Local,1724729,Goods & Services,,P051984763Y,RAJ KAMAL ENTERPRISE LIMITED,03/08/2023,4970,REVERSED,80857.75,12937.24
7,Local,1724730,Goods & Services,,P051984763Y,RAJ KAMAL ENTERPRISE LIMITED,03/08/2023,4971,REVERSED  GRT NO:2019900000374,22715.5,3634.48
8,Local,1725543,Goods & Services,,P000593584F,KENYA BREWERIES LTD,22/08/2023,9501458679,0110396000000058514,67795.5,10847.28
9,Local,1725764,Goods & Services,,P051124888H,MARKETWAYS LIMITED,26/08/2023,344401,0010192910000001470,20472.69,3275.63
10,Local,1725765,Goods & Services,,P051124888H,MARKETWAYS LIMITED,26/08/2023,34399,REVERSED,32883.5,5261.36
11,Local,1725766,Goods & Services,,P051124888H,MARKETWAYS LIMITED,26/08/2023,34400,REVERSED,15495.38,2479.26
12,Local,1727151,Goods & Services,,P051120507D,KIM FAY EAST AFRICA LTD,28/08/2023,IN587095,0110167480000043366,101211.69,16193.87
13,Local,1727433,Goods & Services,,P051984763Y,RAJ KAMAL ENTERPRISE LIMITED,15/08/2023,5099,HTTPS://ITAX.KRA.GO./KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0170955880000001680,52181,8348.96
14,Local,1727641,Goods & Services,,P000596926F,KENCHIC BUTCHERY NO GRN,21/08/2023,KSIN4684897,REVERSED,2051.06,328.17
15,Local,1727935,Goods & Services,,P051984763Y,RAJ KAMAL ENTERPRISE LIMITED,14/08/2023,5088,REVERSED,42250,6760
16,Local,1727936,Goods & Services,,P051984763Y,RAJ KAMAL ENTERPRISE LIMITED,16/08/2023,5123,REVERSED,62353.44,9976.55
17,Local,1728572,Goods & Services,,P051124888H,MARKETWAYS LIMITED,31/08/2023,34401,0010192910000001470,19594.44,3135.11
18,Local,1728574,Goods & Services,,P051124888H,MARKETWAYS LIMITED,31/08/2023,34399,0010192910000001466,29400,4704
19,Local,1728576,Goods & Services,,P051124888H,MARKETWAYS LIMITED,31/08/2023,34400,0010192910000001469,13922.56,2227.61
20,Local,1728579,Goods & Services,,P000627071A,SWAN CARRIERS LIMITED,29/08/2023,0430566900000002407,0430566900000002407,44000,7040
21,Local,1728580,Goods & Services,,P000627071A,SWAN CARRIERS LIMITED,29/08/2023,0430566900000002426,0430566900000002426,37000,5920
22,Local,1728581,Goods & Services,,P000627071A,SWAN CARRIERS LIMITED,30/08/2023,0430566900000002432,0430566900000002432,94000,15040
23,Local,1728582,Goods & Services,,P051566302B,LONDON DISTILLERS EA LTD,25/08/2023,EIY006487,0090968640000004719,46023.25,7363.72
24,Local,1728583,Goods & Services,,P051566302B,LONDON DISTILLERS EA LTD,26/08/2023,EIY006488,0090968640000004721,9008.63,1441.38
25,Local,1728584,Goods & Services,,P051737765Z,R D ENTERPRISES LIMITED SR,18/08/2023,3367,0040794290000000544,11736.94,1877.91
26,Local,1728585,Goods & Services,,P000604356U,MIBISCO LTD,21/08/2023,E28791,0170495930000009545,6836.25,1093.8
27,Local,1728587,Goods & Services,,P052079127E,SOFTCARE KENYA COM LTD,18/08/2023,KF52S2308180146,0040118580000007865,78826.31,12612.21
28,Local,1728588,Goods & Services,,P051592739L,TOLSTOY TRADING LIMITED,21/08/2023,7717,0090971200000002855,2340,374.4
29,Local,1728589,Goods & Services,,P051115864C,WOW BEVERAGES LTD,23/08/2023,IN00324761,0020111470000010331,15444,2471.04
30,Local,1728590,Goods & Services,,P051170377W,COLOMER EAST AFRICA LTD SR,24/08/2023,INV15442,0190275680000003468,17616.38,2818.62
31,Local,1728592,Goods & Services,,P051129234X,LABOREX KENYA LTD,22/08/2023,00-754336-00,0040095360000124001,8598,1375.68
32,Local,1728596,Goods & Services,,P051137476I,HASBAH KENYA LTD,25/08/2023,MSAINV4018039,0090972960000011066,109000.31,17440.05
33,Local,1728597,Goods & Services,,P051417149H,VALENCIA COSMETICS LIMITED,17/08/2023,24281,0090971210000005250,3794.75,607.16
34,Local,1728600,Goods & Services,,P000611756Q,COCA COLA NAIROBI BOTTLERS LIMITED,28/08/2023,1222325263,0110604280000067428,102347.94,16375.67
35,Local,1728601,Goods & Services,,P051120283Z,ECSTACY LTD,28/08/2023,12335,0110100640000011628,12093,1934.88
36,Local,1728603,Goods & Services,,P051576031E,KIRICHWA WATER LIMITED,28/08/2023,1435,0090179440000001435,5603.5,896.56
37,Local,1728605,Goods & Services,,P000623664X,BROADWAYS BAKERY LTD,27/08/2023,1939230567,0110614860000043751,224.13,35.86
38,Local,1728607,Goods & Services,,P051380899P,SPRING VALLEY COFFEE ROASTERS LTD,28/08/2023,INV-0012287,0190432390000104266,43810.38,7009.66
39,Local,1728608,Goods & Services,,P051935233K,MY FROZEN SUPPLIES SR,28/08/2023,INV/2023/827,0110377660000000827,9528,1524.48
40,Local,1728609,Goods & Services,,A002764056Z,JEVANS ENTERPRISES,28/08/2023,23-200-000108,0040222900000000673,16427.56,2628.41
41,Local,1728611,Goods & Services,,P000604356U,MIBISCO LTD,22/08/2023,359288,0170495940000047537,1700,272
42,Local,1728612,Goods & Services,,P000609671I,KENPOLY MANUFACTURERS,28/08/2023,469619,0010194200000029907,27230.13,4356.82
43,Local,1728613,Goods & Services,,P000604356U,MIBISCO LTD,22/08/2023,359285,0170495940000047534,1284.5,205.52
44,Local,1728614,Goods & Services,,P051133936T,GOLD CROWN BEVERAGES,22/08/2023,153288,0040092890000017393,28497.56,4559.61
45,Local,1728617,Goods & Services,,P000601924H,BIO FOOD PRODUCTS LTD,18/08/2023,1063789,0190979930000000582,1992.44,318.79
46,Local,1728619,Goods & Services,,P051647814J,MUSTY DISTRIBUTION LIMITED,17/08/2023,4100440967,0041176560000002608,29081,4652.96
47,Local,1728620,Goods & Services,,P051392682J,KEVAN TRADERS LIMITED MISS MUFFINS,16/08/2023,17320,0110659940000002591,3225,516
48,Local,1728621,Goods & Services,,P051320248Q,GOURMET FOODS INT LTD,15/08/2023,5015,0040556720000001428,3780,604.8
49,Local,1728622,Goods & Services,,P051636912F,SAI PHARMACEUTICALS K LIMITED SR,25/08/2023,231000529,0110166380000007406,6996.56,1119.45
50,Local,1728623,Goods & Services,,P051583563M,SIERRA PREMIUM BREWERIES,21/08/2023,IN004836,0040071940000003817,10344.81,1655.17
51,Local,1728624,Goods & Services,,P051558804L,MASSATECH KENYA LIMITED SR,23/08/2023,2023/1159,0190460990000000853,6620.69,1059.31
52,Local,1728625,Goods & Services,,P000604356U,MIBISCO LTD,21/08/2023,359010,0170495940000047242,9741.56,1558.65
53,Local,1728626,Goods & Services,,P000634500H,MENENGAI O REFINERIES LTD,25/08/2023,95172728,0110161760000016662,79970.75,12795.32
54,Local,1728627,Goods & Services,,P051390690F,MAO FLOWERS LTD SR,25/08/2023,129,0091675870000000129,14439.69,2310.35
55,Local,1728628,Goods & Services,,P051117363A,PROCHEM E A LIMITED,23/08/2023,69620,0040092650000006397,18724.13,2995.86
56,Local,1728629,Goods & Services,,A002764056Z,JEVANS ENTERPRISES,25/08/2023,23--200-000102,0040222900000000667,8240.69,1318.51
57,Local,1728630,Goods & Services,,P051418572O,HADIAH SUPPLIES LIMITED,22/08/2023,1341,0190453550000000280,4862.06,777.93
58,Local,1728631,Goods & Services,,P051383023R,SANGARE GARDENS  LTD,25/08/2023,SGL/INV/AUG23/001177,0172168790000003461,3103.44,496.55
59,Local,1728632,Goods & Services,,P051392682J,KEVAN TRADERS LIMITED MISS MUFFINS,24/08/2023,17442,0110659940000002710,12150,1944
60,Local,1728633,Goods & Services,,P052125179E,BABY BRANDS DIRECTS LTD SR,16/08/2023,303,0110698540000000172,14731,2356.96
61,Local,1728635,Goods & Services,,P051701560Y,MUSK KENYA LIMITED SR,16/08/2023,MC773,0190979380000000230,1680,268.8
62,Local,1728636,Goods & Services,,P051521137R,WOODLANDS COMPANY LTD,26/08/2023,1838,0040260200000000494,13603.44,2176.55
63,Local,1728640,Goods & Services,,P051515755N,C AND C POLAKEN LIMITED,25/08/2023,1282,0040307190000000462,5420.69,867.31
64,Local,1728641,Goods & Services,,P000595050W,NESTLE KENYA LTD,24/08/2023,1025467729,0020112880000005511,74320.5,11891.28
65,Local,1728646,Goods & Services,,P052073029R,NOBLE OUTLOOK LIMITED,22/08/2023,22294,0111778860000000917,92231.38,14757.02
66,Local,1728647,Goods & Services,,P000624346S,MJENGO LIMITED,29/08/2023,2118952,0110145120000071404,25568.75,4091
67,Local,1728648,Goods & Services,,P051393117S,WORLD BRANDS K LTD HQ,29/08/2023,061416,0040094050000013046,7386.25,1181.8
68,Local,1728649,Goods & Services,,P051393117S,WORLD BRANDS K LTD HQ,28/08/2023,061381,0040094050000012998,31389.63,5022.34
69,Local,1728651,Goods & Services,,P000601924H,BIO FOOD PRODUCTS LTD,11/08/2023,1059746,0190980270000014666,7730.5,1236.88
70,Local,1728652,Goods & Services,,P051133936T,GOLD CROWN BEVERAGES,29/08/2023,SALES 21-27/8/2023,,96260.25,15401.64
71,Local,1728654,Goods & Services,,P051111186Z,OZ FOODS AND BEVERAGES LTD,28/08/2023,22262,0110606400000001117,32164.13,5146.26
72,Local,1728656,Goods & Services,,P051146807W,NEW ITALYCOR LTD,21/08/2023,130752,0171505940000006504,9273.63,1483.78
73,Local,1728657,Goods & Services,,P000593795K,RAMJI HARIBHAI DEVANI LTD,21/08/2023,293279,0020108780000023961,2974.75,475.96
74,Local,1728659,Goods & Services,,P051697126Z,254 BREWING COMPANY LIMITED,05/08/2023,#INV-014977,0190443080000002909,17896.56,2863.45
75,Local,1728660,Goods & Services,,P000624917Q,ALMASI BOTTLERS LIMITED,24/08/2023,SO105687,0190275780000011130,847298,135567.68
76,Local,1728661,Goods & Services,,P051691789U,TWIRL ENTERPRISES LTD,23/08/2023,4003,0190178920000001592,87508.63,14001.38
77,Local,1728662,Goods & Services,,P051386713B,SUNVEAT FOODS LIMITED,24/08/2023,63664,0110159740000013400,16834.5,2693.52
78,Local,1728665,Goods & Services,,P000593584F,KENYA BREWERIES LTD,31/08/2023,9501459084,0110396000000058810,902.44,144.39
79,Local,1728666,Goods & Services,,P051691789U,TWIRL ENTERPRISES LTD,22/08/2023,3999,0190178920000001578,178181,28508.96
80,Local,1728668,Goods & Services,,P000606255Y,ROSHNI DISTRIBUTORS LTD CROCKERY SR,22/08/2023,0352036,0110400270000012210,48696.19,7791.39
81,Local,1728672,Goods & Services,,P051133092U,HEALTHY U TWO THOUSAND LTD,26/08/2023,5157373,0020114550000015530,44138.88,7062.22
82,Local,1728675,Goods & Services,,P051697126Z,254 BREWING COMPANY LIMITED,02/08/2023,INV-014927,0190443080000002876,13241.38,2118.62
83,Local,1728676,Goods & Services,,P000592830Q,UDV KENYA LIMITED,15/08/2023,9510338481167,0110600260000032167,161793.13,25886.9
84,Local,1728677,Goods & Services,,P051697126Z,254 BREWING COMPANY LIMITED,23/08/2023,INV-015146,0190443080000003062,6672.44,1067.59
85,Local,1728678,Goods & Services,,P051515008X,ROYAL BREKKERS LIMITED,27/08/2023,7481,0040303780000001220,1810.31,289.65
86,Local,1728679,Goods & Services,,P051691789U,TWIRL ENTERPRISES LTD,23/08/2023,3992,0190178920000001572,132387.94,21182.07
87,Local,1728681,Goods & Services,,P000591334K,DEBENHAM AND FEAR LTD HQ,21/08/2023,547947,0040071920000033223,79650,12744
88,Local,1728682,Goods & Services,,P051393117S,WORLD BRANDS K LTD HQ,24/08/2023,061267,0040094050000012819,5488,878.08
89,Local,1728685,Goods & Services,,P000626483G,HARLEYS LTD,28/08/2023,100076870,0020114490000005529,7166.44,1146.63
90,Local,1728686,Goods & Services,,P000629596S,KAPI LTD,28/08/2023,INV/23/51502,0040095260000005358,26779.06,4284.65
91,Local,1728688,Goods & Services,,P000608167F,HACO INDUSTRIES KENYA  LTD,23/08/2023,IN23080534,0190431310000006960,20346,3255.36
92,Local,1728690,Goods & Services,,P000623337P,GITHUNGURI DAIRY FARMERS,29/08/2023,P1871194/INV,0190431800000202318,817.25,130.76
93,Local,1728691,Goods & Services,,P051111186Z,OZ FOODS AND BEVERAGES LTD,28/08/2023,22263,0110606400000001118,40010.31,6401.65
94,Local,1728692,Goods & Services,,P051137476I,HASBAH KENYA LTD P AND G,25/08/2023,NBIINV1078143,0090972930000024781,131399.25,21023.88
95,Local,1728693,Goods & Services,,P051116172X,BROOKSIDE DAIRY,25/08/2023,2308260866,0040095410000327773,42870.19,6859.23
96,Local,1728696,Goods & Services,,P051691789U,TWIRL ENTERPRISES LTD,23/08/2023,3988,0190178920000001582,147310.31,23569.65
97,Local,1728697,Goods & Services,,P051697126Z,254 BREWING COMPANY LIMITED,05/08/2023,INV-014975,0190443080000002907,13241.38,2118.62
98,Local,1728698,Goods & Services,,P051413358C,FIRST DRINKS KENYA LTD SR,31/08/2023,FD000037,0090783700000000195,6879.31,1100.69
99,Local,1728699,Goods & Services,,A002367661A,KANYANGOLD ABERDARE PARMESSAN CHEESE,31/08/2023,213173,0110156540000000625,30000,4800
100,Local,1728700,Goods & Services,,P051120507D,KIM FAY EAST AFRICA LTD,31/08/2023,IN587623,0110167480000043952,21778.38,3484.54
101,Local,1728701,Goods & Services,,P051103075Q,DPL FESTIVE  LIMITED,30/08/2023,5402598,0020108550000332680,2241.06,358.57
102,Local,1728703,Goods & Services,,P000601924H,BIO FOOD PRODUCTS LTD,25/08/2023,4009666,0190979930000002008,45513.25,7282.12
103,Local,1728704,Goods & Services,,P051697126Z,254 BREWING COMPANY LIMITED,05/08/2023,INV-014953,0190443080000002892,13344.81,2135.17
104,Local,1728705,Goods & Services,,P051672759R,SAVANNAH BRANDS COMPANY LIMITED,28/08/2023,49785,0020112050000015242,11556,1848.96
105,Local,1728706,Goods & Services,,P051583563M,SIERRA PREMIUM BREWERIES,28/08/2023,IN004951,0040071940000003904,13241.38,2118.62
106,Local,1728707,Goods & Services,,P051999060B,GO PRO FOODS LTD SR,30/08/2023,1208,0170934490000001307,4096.56,655.45
107,Local,1728709,Goods & Services,,P051384830A,TRUPTI  ENTERPRISES SR,28/08/2023,8869,0110367370000000938,55988.81,8958.21
108,Local,1728710,Goods & Services,,P051466387U,CLOROX SUB SAHARA  AFRICA  LTD,29/08/2023,0000005663,0040072110000002748,4655.19,744.83
109,Local,1728712,Goods & Services,,P051699330Q,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,23/08/2023,SINV101866,0190434240000028402,4291.56,686.65
