CardName,TaxDate,NumAtCard,U_CUINNUMBER,Taxable Amount,VAT AMOUNT
SHALINA HEALTHCARE K LTD,09/08/2023,0001534T01,0190437890000006428,36853.63,5896.58
RAJ KAMAL ENTERPRISE LIMITED,03/08/2023,4971,REVERSED  GRT NO:2019900000374,22715.5,3634.48
KENYA BREWERIES LTD,22/08/2023,9501458679,0110396000000058514,67795.5,10847.28
MARKETWAYS LIMITED,26/08/2023,344401,0010192910000001470,20472.69,3275.63
KIM FAY EAST AFRICA LTD,28/08/2023,IN587095,0110167480000043366,101211.69,16193.87
RAJ KAMAL ENTERPRISE LIMITED,15/08/2023,5099,HTTPS://ITAX.KRA.GO./KRA-PORTAL/INVOICECHK.HTM?ACTIONCODE=LOADPAGE&INVOICENO=0170955880000001680,52181.0,8348.96
MARKETWAYS LIMITED,31/08/2023,34401,0010192910000001470,19594.44,3135.11
MARKETWAYS LIMITED,31/08/2023,34399,0010192910000001466,29400.0,4704.0
MARKETWAYS LIMITED,31/08/2023,34400,0010192910000001469,13922.56,2227.61
SWAN CARRIERS LIMITED,29/08/2023,0430566900000002407,0430566900000002407,44000.0,7040.0
SWAN CARRIERS LIMITED,29/08/2023,0430566900000002426,0430566900000002426,37000.0,5920.0
SWAN CARRIERS LIMITED,30/08/2023,0430566900000002432,0430566900000002432,94000.0,15040.0
LONDON DISTILLERS EA LTD,25/08/2023,EIY006487,0090968640000004719,46023.25,7363.72
LONDON DISTILLERS EA LTD,26/08/2023,EIY006488,0090968640000004721,9008.63,1441.38
R D ENTERPRISES LIMITED SR,18/08/2023,3367,0040794290000000544,11736.94,1877.91
MIBISCO LTD,21/08/2023,E28791,0170495930000009545,6836.25,1093.8
SOFTCARE KENYA COM LTD,18/08/2023,KF52S2308180146,0040118580000007865,78826.31,12612.21
TOLSTOY TRADING LIMITED,21/08/2023,7717,0090971200000002855,2340.0,374.4
WOW BEVERAGES LTD,23/08/2023,IN00324761,0020111470000010331,15444.0,2471.04
COLOMER EAST AFRICA LTD SR,24/08/2023,INV15442,0190275680000003468,17616.38,2818.62
LABOREX KENYA LTD,22/08/2023,00-754336-00,0040095360000124001,8598.0,1375.68
HASBAH KENYA LTD,25/08/2023,MSAINV4018039,0090972960000011066,109000.31,17440.05
